"共通","共通","日本","日本","日本","日本","ドル円","ドル円","ドル円","ドル円","NYダウ","NYダウ","NYダウ","NYダウ","投資部門別","投資部門別","凪","凪","日柄","日柄","指標","指標","指標"
"日付","合計","短期線","中期線","長期線","増田","短期線","中期線","長期線","増田","短期線","中期線","長期線","増田","海外買い","個人売り","勝率","期待値","日経週足","ドル円週足","騰落レシオ","空売り比率","新高安値"
"-","1.0","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.175","0.175","0.025","0.025","0.15","0.05","0.025","0.025","0.05"
"2016/03/14","-4","5","0","-2","3","0","-2","-2","-10","0","0","-2","8","-10","-10","-10","-10","0","0","10","0","0"
"2016/03/15","-4","5","0","-2","3","0","-2","-2","3","5","5","-2","8","-10","-10","-10","-10","0","0","-10","0","0"
"2016/03/16","-3","5","0","-2","3","-2","-2","-2","3","5","5","-2","8","-10","-10","-10","-10","0","0","10","0","0"
"2016/03/17","-4","0","5","-2","3","-5","-2","-2","-10","10","5","-2","8","-10","-10","-10","-10","0","0","10","0","0"
"2016/03/18","-4","-5","5","-2","3","-5","-2","-2","-10","5","5","-2","10","-10","-10","-10","-10","0","0","10","-10","0"
"2016/03/22","-3","-2","0","-2","3","-2","-2","-2","-10","5","5","-2","10","-10","-10","10","10","0","0","-10","0","0"
"2016/03/23","-3","-2","0","-2","3","-2","-2","-2","-10","0","0","0","10","-10","-10","10","10","0","0","-10","0","0"
"2016/03/24","-3","-2","5","-2","3","5","-2","-2","-10","0","5","-2","10","-10","-6","10","10","0","0","-10","-10","0"
"2016/03/25","-3","0","0","-2","3","5","0","-2","-10","0","0","0","0","-10","-6","10","10","0","0","-10","0","0"
"2016/03/28","0","5","5","-2","3","5","0","-2","-10","-2","5","-2","10","-10","-6","10","10","10","0","10","0","0"
"2016/03/29","-1","0","0","-2","3","0","0","-2","-10","0","0","0","10","-10","-6","10","10","10","0","-10","0","0"
"2016/03/30","0","-2","0","-2","3","0","0","-2","-10","0","5","0","10","-10","-6","10","10","10","0","10","0","0"
"2016/03/31","-2","-2","0","-2","3","-2","-2","-2","-10","0","5","0","10","-10","-10","10","10","10","0","-10","-10","0"
"2016/04/01","-2","-10","0","-2","3","-5","-2","-2","-10","5","5","0","10","-10","-10","10","10","10","0","-10","-10","0"
"2016/04/04","-3","-10","-2","-2","-10","-5","-2","-2","-10","0","5","0","10","-10","-10","0","-10","10","0","10","-10","0"
"2016/04/05","-3","-10","-2","-2","-10","-5","-2","-2","-10","-2","5","0","10","-10","-10","0","-10","10","0","-10","-10","0"
"2016/04/06","-4","-10","-2","-2","-10","-5","-2","-2","-10","-2","0","-2","10","-10","-10","0","-10","10","0","-10","-10","0"
"2016/04/07","2","-10","-2","-5","-10","-10","-2","-2","-10","-2","0","0","10","10","6","0","-10","10","0","-10","-10","0"
"2016/04/08","3","-5","-5","-5","-10","-10","-2","-2","-10","-2","0","0","10","10","6","0","-10","10","0","-10","0","0"
"2016/04/11","3","-5","-5","-5","-10","-10","-2","-2","-10","-2","0","0","10","10","6","-10","10","10","0","-10","-10","0"
"2016/04/12","4","0","-2","-2","-10","-5","-2","-2","-10","0","0","0","10","10","6","-10","10","10","0","10","0","0"
"2016/04/13","4","10","-2","-2","-10","-2","-2","-2","-10","0","0","0","10","10","6","-10","10","10","0","10","0","0"
"2016/04/14","5","10","0","-2","-10","0","-2","-2","-10","5","0","0","10","10","10","-10","10","10","0","10","0","0"
"2016/04/15","5","10","-2","-2","-10","0","-2","-2","-10","5","0","0","10","10","10","-10","10","10","0","-10","0","0"
"2016/04/18","5","10","-2","-2","-10","0","-2","-2","-10","10","0","0","10","10","10","0","10","10","0","-10","0","0"
"2016/04/19","6","10","-2","-2","3","0","-2","-2","-10","5","0","0","10","10","10","0","10","10","0","10","0","0"
"2016/04/20","5","10","-2","-2","8","0","-2","-2","-10","0","0","0","10","10","10","0","10","10","0","-10","0","0"
"2016/04/21","6","10","0","-2","8","0","-2","-2","-10","0","0","0","10","10","10","0","10","10","0","10","0","0"
"2016/04/22","6","10","0","-2","8","10","0","-2","-10","0","0","0","10","10","10","0","10","10","0","10","0","0"
"2016/04/25","4","10","0","-2","8","5","-2","-2","-10","-2","0","0","10","10","10","0","-10","0","0","10","0","0"
"2016/04/26","4","10","0","-2","8","5","-2","-2","3","-2","0","0","10","10","10","0","-10","0","0","-10","0","0"
"2016/04/27","4","5","0","-2","8","5","-2","-2","3","-2","0","0","10","10","10","0","-10","0","0","10","0","0"
"2016/04/28","-1","-10","-2","-2","8","-2","-2","-2","3","-2","0","0","10","6","-10","0","-10","0","0","-10","0","0"
"2016/05/02","-2","-10","-2","-2","8","-10","-5","-2","-10","-2","0","0","10","6","-10","-10","-10","0","0","-10","-10","0"
"2016/05/06","-2","-10","-2","-2","8","0","-2","-2","-10","-2","-2","0","-3","6","-10","-10","-10","0","0","-10","-10","0"
"2016/05/09","-1","-10","-2","-2","-10","5","-2","-2","-10","-2","-2","0","-3","6","-10","0","10","0","0","10","0","0"
"2016/05/10","-1","-10","-2","-2","-10","5","-2","-2","-10","0","0","0","-3","6","-10","0","10","0","0","10","-10","0"
"2016/05/11","-1","-2","-2","-2","-10","5","-2","-2","-10","0","-2","0","-3","6","-10","0","10","0","0","10","-10","0"
"2016/05/12","4","10","0","0","-10","5","0","-2","-10","0","0","0","-3","10","10","0","10","0","0","10","0","0"
"2016/05/13","3","5","0","0","-10","5","0","-2","-10","-2","-2","0","-3","10","10","0","10","0","0","-10","0","0"
"2016/05/16","3","5","0","-2","-10","0","0","-2","3","0","0","0","-3","10","10","0","-10","0","0","10","0","0"
"2016/05/17","3","0","0","-2","-10","-2","0","-2","-10","-5","-2","0","-3","10","10","0","-10","0","0","10","0","0"
"2016/05/18","3","0","0","-2","-8","5","0","-2","3","-2","-2","0","-3","10","10","0","-10","0","0","-10","0","0"
"2016/05/19","3","0","0","-2","-8","0","0","-2","3","-5","-2","0","-3","10","10","0","-10","0","0","-10","0","0"
"2016/05/20","3","5","0","-2","-3","5","0","-2","3","-2","-2","0","-3","10","10","0","-10","0","0","10","0","0"
"2016/05/23","2","0","0","-2","-3","0","0","-2","3","-2","-2","0","-3","10","10","0","-10","0","0","-10","-10","0"
"2016/05/24","3","-2","0","-2","-3","0","0","-2","3","0","-2","0","-3","10","10","0","-10","0","0","-10","0","0"
"2016/05/25","3","0","-2","-2","-3","0","0","-2","3","5","-2","0","-3","10","10","0","-10","0","0","-10","0","0"
"2016/05/26","3","0","-2","-2","-3","-2","0","-2","3","5","-2","0","-3","6","10","0","-10","0","0","10","0","0"
"2016/05/27","3","0","0","-2","-3","0","-2","-2","3","5","-2","0","10","6","10","0","-10","0","0","10","0","0"
"2016/05/30","1","5","0","0","10","5","-2","-2","3","0","0","0","0","6","10","0","-10","-10","0","-10","0","0"
"2016/05/31","2","10","0","0","10","0","-2","-2","3","5","-2","0","10","6","10","0","-10","-10","0","10","-10","0"
"2016/06/01","1","0","-2","0","10","-2","-2","-2","3","0","-2","0","10","6","10","0","-10","-10","0","-10","0","0"
"2016/06/02","-5","-2","-2","0","10","-2","0","-2","3","-2","-2","0","10","-10","-10","0","-10","-10","0","-10","-10","0"
"2016/06/03","-5","-2","-2","0","10","-10","0","-2","3","-2","-2","0","10","-10","-10","0","-10","-10","0","10","-10","0"
"2016/06/06","-6","-10","-2","0","10","-10","0","-2","-10","0","0","0","10","-10","-10","0","-10","-10","0","10","-10","0"
"2016/06/07","-5","-10","-2","0","10","-10","0","-2","-10","0","0","0","10","-10","-10","0","-10","-10","0","10","0","0"
"2016/06/08","-5","-2","0","0","10","-5","-2","-2","-10","0","0","0","10","-10","-10","0","-10","-10","0","10","0","0"
"2016/06/09","1","0","0","0","10","-5","-2","-2","-10","0","0","0","10","10","6","0","-10","-10","0","10","0","0"
"2016/06/10","0","-2","0","0","-3","0","-2","-2","-10","0","0","0","10","10","6","0","-10","-10","0","-10","-10","0"
"2016/06/13","1","-10","-2","-2","-8","-2","-2","-2","-10","-2","-2","0","10","10","6","0","10","-10","10","-10","-10","0"
"2016/06/14","1","-10","-2","-2","-8","-2","-2","-2","-10","-5","-2","0","10","10","6","0","10","-10","10","-10","-10","0"
"2016/06/15","1","-10","-2","0","-10","-2","-2","-2","-10","-5","-2","0","10","10","6","0","10","-10","10","10","-10","0"
"2016/06/16","-3","-10","-5","-2","-10","-10","-2","-2","-10","-5","0","0","-3","6","-10","0","10","-10","10","-10","-10","0"
"2016/06/17","-3","-10","-2","-2","-10","-10","-2","-2","-10","-2","-2","0","-3","6","-10","0","10","-10","10","10","-10","0"
"2016/06/20","-1","-2","-2","-2","-10","-5","-2","-2","-10","0","0","0","-3","6","-10","0","10","0","10","10","0","0"
"2016/06/21","-1","5","-2","0","-10","-5","-2","-2","-10","0","0","0","-3","6","-10","0","10","0","10","-10","0","0"
"2016/06/22","-1","0","-2","-2","-10","-5","-2","-2","-10","0","0","0","10","6","-10","0","10","0","10","-10","0","0"
"2016/06/23","0","10","-2","-2","-10","5","-2","-2","-10","5","0","0","10","6","-10","0","10","0","10","10","0","0"
"2016/06/24","-2","-10","-5","-2","-10","-5","-5","-2","-10","-5","-2","0","-3","6","-10","0","10","0","10","-10","-10","0"
"2016/06/27","-1","-10","-5","-2","-10","-5","-5","-2","-10","-10","-2","0","-8","6","-10","10","10","0","10","10","0","0"
"2016/06/28","-1","-10","-5","-2","-10","-5","-5","-2","-10","-5","-2","0","-8","6","-10","10","10","0","10","10","-10","0"
"2016/06/29","-1","-10","-5","-2","-10","-5","-5","-2","-10","-2","-2","0","-8","6","-10","10","10","0","10","10","0","0"
"2016/06/30","3","-10","-5","-2","-10","-10","-2","-2","-10","-2","0","0","-8","10","10","10","10","0","10","-10","0","0"
"2016/07/01","4","10","-5","-2","-10","0","-5","-2","-10","10","0","0","-8","10","10","10","10","0","10","10","-10","0"
"2016/07/04","3","10","-5","-2","-10","0","-5","-2","-10","0","0","0","0","10","10","0","-10","0","10","-10","-10","0"
"2016/07/05","3","5","-5","-2","-10","-2","-5","-2","-10","10","-2","0","-3","10","10","0","-10","0","10","-10","-10","0"
"2016/07/06","3","-2","-5","-2","-10","-5","-5","-2","-10","10","0","0","10","10","10","0","-10","0","10","-10","-10","0"
"2016/07/07","-4","-5","-5","-2","-10","-5","-5","-2","-10","0","0","0","10","-10","-10","0","-10","0","10","10","-10","0"
"2016/07/08","-5","-10","-5","-2","-10","-5","-2","-2","-10","0","0","0","10","-10","-10","0","-10","0","10","-10","-10","0"
"2016/07/11","-3","-2","-2","-2","-10","0","-2","-2","-10","5","0","0","10","-10","-10","0","10","0","10","10","0","0"
"2016/07/12","-2","10","-2","-2","-10","10","-2","-2","-10","10","0","0","10","-10","-10","0","10","0","10","10","0","0"
"2016/07/13","-3","10","-2","-2","-10","10","-2","-2","-10","10","0","0","10","-10","-10","0","10","0","10","-10","-10","0"
"2016/07/14","2","10","-2","-2","3","10","-2","-2","-10","10","0","0","10","-6","10","0","10","0","10","10","-10","0"
"2016/07/15","3","10","-2","-2","3","10","-2","-2","3","5","0","0","10","-6","10","0","10","0","10","10","0","0"
"2016/07/19","2","10","0","-2","8","5","0","-2","3","0","0","0","10","-6","10","0","-10","0","10","10","0","0"
"2016/07/20","2","10","0","-2","8","5","0","-2","3","0","0","0","10","-6","10","0","-10","0","10","10","0","0"
"2016/07/21","-2","10","0","0","8","0","0","-2","3","0","0","0","10","-10","-10","0","-10","0","10","10","0","0"
"2016/07/22","-2","5","5","0","8","5","0","-2","3","0","0","0","10","-10","-10","0","-10","0","10","10","-10","0"
"2016/07/25","-3","0","5","0","8","-2","0","-2","3","-2","0","0","10","-10","-10","0","10","0","0","-10","-10","0"
"2016/07/26","-4","-5","0","0","8","-5","-2","-2","3","-2","0","0","10","-10","-10","0","10","0","0","-10","-10","0"
"2016/07/27","-3","-2","0","0","8","-5","0","-2","3","-2","0","0","10","-10","-10","0","10","0","0","-10","-10","0"
"2016/07/28","4","-5","0","0","8","-2","-2","-2","3","-2","0","0","10","10","10","0","10","0","0","10","-10","0"
"2016/07/29","3","-2","0","0","8","-10","-2","-2","3","-2","0","0","10","10","10","0","10","0","0","-10","-10","0"
"2016/08/01","4","0","5","0","8","-10","0","-2","3","-2","0","0","10","10","10","0","-10","0","0","10","-10","0"
"2016/08/02","3","0","5","0","8","-10","-2","-2","-10","-2","5","0","10","10","10","0","-10","0","0","-10","-10","0"
"2016/08/03","2","-10","0","-2","8","-10","-2","-2","-10","-2","0","0","10","10","10","0","-10","0","0","-10","-10","0"
"2016/08/04","-2","-5","0","-2","8","-10","-2","-2","-10","-2","0","0","10","-10","6","0","-10","0","0","-10","-10","0"
"2016/08/05","-2","-5","0","-2","3","-2","-2","-2","-10","0","0","0","10","-10","6","0","-10","0","0","-10","-10","0"
"2016/08/08","-1","0","0","0","3","0","-2","-2","-10","0","0","0","10","-10","6","0","10","0","0","-10","0","0"
"2016/08/09","0","5","0","-2","8","0","0","-2","-10","0","0","0","10","-10","6","0","10","0","0","10","0","0"
"2016/08/10","0","10","5","-2","8","0","-2","-2","-10","0","0","0","10","-10","6","0","10","0","0","10","-10","0"
"2016/08/12","2","10","5","-2","10","-2","0","-2","-10","0","0","0","10","-6","10","0","10","0","0","10","0","0"
"2016/08/15","1","10","5","-2","10","-2","-2","-2","-10","0","0","0","10","-6","10","-10","-10","0","0","10","-10","0"
"2016/08/16","0","-2","5","-2","10","-5","-2","-2","-10","0","0","0","10","-6","10","-10","-10","0","0","10","-10","0"
"2016/08/17","0","-2","5","-2","10","-2","-2","-2","-10","0","0","0","10","-6","10","-10","-10","0","0","-10","-10","0"
"2016/08/18","-5","-5","0","-2","10","-5","-2","-2","-10","-2","0","0","10","-10","-10","-10","-10","0","0","-10","-10","0"
"2016/08/19","-5","-5","0","-2","10","-2","-2","-2","-10","-2","0","0","10","-10","-10","-10","-10","0","0","-10","-10","0"
"2016/08/22","-4","-5","0","0","10","-2","-2","-2","-10","-2","-2","0","10","-10","-10","-10","-10","0","0","10","-10","0"
"2016/08/23","-5","-2","-2","0","-3","-2","-2","-2","-10","-2","-2","0","10","-10","-10","-10","-10","0","0","-10","-10","0"
"2016/08/24","-5","-2","-2","0","-3","0","-5","-2","-10","-2","-2","0","10","-10","-10","-10","-10","0","0","-10","-10","0"
"2016/08/25","-1","0","-2","-2","-3","0","-2","-2","-10","-2","-2","0","10","10","-10","-10","-10","0","0","-10","-10","0"
"2016/08/26","-2","-2","-2","-2","-3","5","-2","-2","-10","-2","-2","0","-3","10","-10","-10","-10","0","0","-10","-10","0"
"2016/08/29","2","0","0","0","-3","5","-2","-2","-10","-2","0","0","-3","10","-10","10","10","10","0","10","0","0"
"2016/08/30","2","5","0","0","10","10","-2","-2","-10","-2","-2","0","-3","10","-10","10","10","10","0","-10","-10","0"
"2016/08/31","3","5","0","0","10","10","-2","-2","3","-2","-2","0","-3","10","-10","10","10","10","0","10","0","0"
"2016/09/01","5","5","0","0","10","10","-2","-2","3","-2","-2","0","-3","6","10","10","10","10","0","-10","0","0"
"2016/09/02","6","10","0","0","10","5","0","-2","3","0","0","0","-3","6","10","10","10","10","0","10","0","0"
"2016/09/05","4","5","0","0","10","5","0","-2","3","0","0","0","0","6","10","10","10","0","0","-10","0","0"
"2016/09/06","4","5","0","0","10","-2","0","-2","3","0","0","0","-3","6","10","10","10","0","0","10","0","0"
"2016/09/07","4","0","0","0","10","-5","0","-2","3","0","0","0","-3","6","10","10","10","0","0","10","0","0"
"2016/09/08","1","0","0","0","10","-2","0","-2","3","0","0","0","-3","-10","10","10","10","0","0","10","-10","0"
"2016/09/09","0","0","0","0","10","-5","0","-2","3","-5","-2","0","-3","-10","10","10","10","0","0","-10","0","0"
"2016/09/12","0","-5","0","-2","10","-5","-2","-2","3","-2","-2","0","-3","-10","10","0","10","0","0","-10","-10","0"
"2016/09/13","-1","-5","0","-2","10","0","0","-2","3","-10","-2","0","-3","-10","10","0","10","0","0","-10","-10","0"
"2016/09/14","-1","-5","-2","-2","10","0","0","-2","3","-10","-2","0","-8","-10","10","0","10","0","0","-10","-10","0"
"2016/09/15","-2","-10","-2","-2","-3","-2","0","-2","3","-5","-2","0","-8","-10","6","0","10","0","0","-10","-10","0"
