"2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14"
"証券コード","会社名","市場","業種","PER","東証1部平均
PER","PBR","東証1部平均
PBR","昨季
営業利益増加率(%)","今期予想
営業利益増加率(%)","四半期の見通し
悪1 - 5良","四半期の見通し
悪1 - 5良","自己資本比率(%)","IR活動の数
(分割,分売,優待新設,優待拡充,優待変更,自己株式取得)","上場日","株主優待","配当月","サイクロ","一か月の
25日移動曲線の
値動き","25日
移動平均曲線の
値動き
乖離率","一か月の
25日移動曲線の
出来高","25日
移動平均曲線
出来高
乖離率","昇格条件
時価総額 250億円
(2部,マザーズは40億円)
達成率(%)","昇格条件
２年間の経常利益 5億円
達成率(%)","昇格条件
自己資本 10億円
達成率(%)","昇格条件
株主2200人
達成率(%)","昇格条件
株主2200人
達成率(%)","昇格条件
流通株式数単位2万以上
達成率(%)","昇格条件
流通株式数単位2万以上
達成率(%)","昇格条件
流通株式比率35%以上
達成率(%)","昇格条件
流通株式比率35%以上
達成率(%)","昇格条件
流通株式時価総額20億円以上
達成率(%)","昇格条件
流通株式時価総額20億円以上
達成率(%)"
"1301-T","極洋","東証1部","水産・農林業","12.5536992840095465","19.9584667081579958","1.19360987564672771","1.31657428467685356","-15.609%","14.390%","4","2","25.500%","0","1949-05-01","あり","3月末日","0.5833333333333334","→→→→","-1.483%","↑↑↑↑","128.268%","724.000%","1018.400%","2264.900%","1403.318%","1298.409%","525.160%","525.160%","274.603%","274.603%","1391.687%","1391.687%"
"1332-T","日本水産","東証1部","水産・農林業","11.7337542751907407","19.9584667081579958","1.43035823097399062","1.31657428467685356","29.998%","20.729%","5","2","19.100%","0","1949-05-01","なし","3月末日","0.6666666666666666","↑↑↑↑","5.368%","↑↓↑↑","87.537%","3153.275%","6750.400%","8528.400%","1510.500%","1392.545%","13860.500%","13860.500%","285.714%","285.714%","6306.550%","6306.550%"
"1333-T","マルハニチロ","東証1部","水産・農林業","14.2212529141911705","19.9584667081579958","1.1009868708334547","1.31657428467685356","76.509%","76.422%","3","3","17.700%","0","2014-04-01","あり","3月末日","0.3333333333333333","↑↑↑→","-3.309%","↑↓↓→","160.145%","2519.625%","3392.400%","8889.300%","4014.273%","3422.955%","2632.800%","2632.800%","285.714%","285.714%","5039.250%","5039.250%"
"1352-T","ホウスイ","東証1部","卸売業","36.0335195530726224","15.8616693785436578","1.99721319089642346","1.03907096798458576","10.653%","58.385%","4","3","29.100%","0","1949-05-01","なし","3月末日","0.5833333333333334","→→→→","-1.255%","↑↑↑↓","-0.915%","272.325%","140.400%","542.400%","121.545%","115.636%","71.700%","71.700%","48.898%","48.898%","93.213%","93.213%"
"1376-T","カネコ種苗","東証2部","水産・農林業","11.6841178197475291","19.9584667081579958","0.899529893924783108","1.31657428467685356","18.332%","-8.913%","3","2","35.000%","0","1981-11-11","なし","5月末日","0.5833333333333334","→↑→→","-1.547%","↑↑↓↓","-16.164%","355.250%","838.800%","1544.300%","174.864%","174.864%","522.600%","522.600%","253.677%","253.677%","630.831%","630.831%"
"1377-T","サカタのタネ","東証1部","水産・農林業","28.4397771110158608","19.9584667081579958","1.32560149042759901","1.31657428467685356","29.618%","234.128%","3","5","88.500%","0","1987-05-11","あり","5月末日","0.75","↑→→↑","4.181%","↑↓↑↑","8.006%","3271.350%","1943.400%","8728.100%","1292.318%","1292.318%","1870.500%","1870.500%","220.793%","220.793%","5056.030%","5056.030%"
"1379-T","ホクト","東証1部","水産・農林業","32.8438499563826696","19.9584667081579958","1.53231495550249619","1.31657428467685356","-9.191%","-139.677%","3","2","69.200%","0","1994-11-22","あり","3月末日","0.6666666666666666","→→→→","-2.426%","↑↓↓↓","4.308%","1888.950%","2320.200%","5014.100%","1226.318%","1113.955%","1278.950%","1280.450%","219.080%","219.337%","2896.817%","2900.214%"
"1380-T","秋川牧園","JQスタンダード","水産・農林業","49.7517378351539179","19.9584667081579958","1.57552124280637762","1.31657428467685356","2366.667%","-148.649%","4","4","36.200%","0","1997-11-19","あり","3月末日","1.0","→→↑→","-0.899%","↑↑↑↑","-18.182%","8.440%","21.200%","136.800%","37.091%","36.500%","11.445%","11.445%","156.497%","156.497%","57.786%","57.786%"
"1381-T","アクシーズ","JQスタンダード","水産・農林業","12.8248327972634915","19.9584667081579958","1.76143495242302506","1.31657428467685356","190.016%","36.202%","5","5","73.900%","1","2000-12-12","あり","6月末日","0.5833333333333334","↑↑↑→","-1.046%","↑↑↓↓","-19.118%","56.624%","532.800%","774.700%","32.682%","32.682%","109.850%","109.850%","111.753%","111.753%","276.845%","276.845%"
"1382-T","ホーブ","JQスタンダード","水産・農林業","13.0465361622318596","19.9584667081579958","0.916381240943222264","1.31657428467685356","-76.259%","-887.879%","5","1","80.900%","0","2005-08-01","なし","6月末日","0.75","↓→→→","-2.006%","↓↑↑↑","398.333%","3.516%","41.000%","99.100%","39.182%","39.182%","21.750%","21.750%","163.105%","163.105%","25.090%","25.090%"
"1383-T","ベルグアース","JQスタンダード","水産・農林業","42.2619047619047663","19.9584667081579958","1.19891928402566705","1.31657428467685356","-40.704%","-191.525%","1","1","40.500%","3","2011-11-29","なし","10月末日","0.8333333333333334","↓↓↓↓","-1.814%","↑↑↑↑","-17.437%","5.408%","96.800%","119.500%","55.591%","55.591%","45.950%","45.950%","206.912%","206.912%","48.955%","48.955%"
"1384-T","ホクリヨウ","東証2部","水産・農林業","10.1137656427758813","19.9584667081579958","1.2478944413250983","1.31657428467685356","44.895%","","3","5","56.700%","1","2015-02-20","あり","8月末日","0.5","↓→↑↑","10.380%","↑↓↑↑","-1.439%","164.100%","368.400%","547.400%","117.227%","182.136%","156.450%","139.950%","119.855%","107.215%","137.678%","123.158%"
"1400-T","ルーデン・ホールディングス","JQグロース","建設業","25.1646903820816874","15.8257337701220262","1.1415934492857569","1.21499040903193167","70.270%","-11.111%","2","4","76.200%","0","2005-04-06","なし","12月末日","0.5833333333333334","→→↓↓","-1.729%","↑↓↓↓","-92.061%","7.608%","59.600%","163.600%","79.409%","79.409%","207.050%","207.050%","118.184%","118.184%","39.338%","39.338%"
"1401-F","エムビーエス","福証Q-Board","建設業","","15.8257337701220262","","1.21499040903193167","15.232%","","5","4","42.000%","0","2005-04-26","なし","5月末日","","→→→→","","→→→→","","5.192%","74.600%","89.600%","16.000%","16.000%","14.950%","20.350%","138.011%","159.953%","31.349%","36.333%"
"1401-T","エムビーエス","東証マザーズ","建設業","10.9493442425700884","15.8257337701220262","1.08258583359109184","1.21499040903193167","15.232%","","5","4","42.000%","0","2005-04-26","なし","5月末日","0.16666666666666666","↓→↓↓","-1.121%","↑↑↓↓","-49.568%","32.450%","74.600%","89.600%","16.000%","16.000%","14.950%","20.350%","138.011%","159.953%","31.349%","36.333%"
"1405-T","サーラ住宅","東証2部","建設業","8.6418254642553709","15.8257337701220262","0.50109791115365121","1.21499040903193167","-47.373%","-127.320%","1","3","38.900%","0","2005-12-05","なし","10月末日","0.5833333333333334","↓↓↓→","-2.230%","↑→↓↑","167.322%","96.025%","346.800%","724.400%","135.136%","135.136%","162.700%","162.700%","179.343%","179.343%","120.550%","120.550%"
