kabudb=# select kabu_id,shouken_name,kabu_name,bonus_month,per,total_bonus_ratio from v_last_analyse where yohou ='6' order by per asc;
 kabu_id |  shouken_name  |                   kabu_name                   |       bonus_month        |       per        | total_bonus_ratio
---------+----------------+-----------------------------------------------+--------------------------+------------------+-------------------
 5280-T  | JQスタンダード | ヨシコン                                      | 3月末日                  | 4.65106437005375 |            0.0204
 1879-T  | 東証1部        | 新日本建設                                    | 3月末日                  | 4.83000539665407 |            0.0173
 7260-T  | 東証1部        | 富士機工                                      | 3月末日                  |  4.9109036911328 |            0.0132
 9680-T  | 東証2部        | 共成レンテム                                  | 3月末日                  | 5.02501975243613 |            0.0209
 1930-T  | 東証1部        | 北陸電気工事                                  | 3月末日                  |  5.0547598989048 |            0.0155
 1827-T  | 東証1部        | ナカノフドー建設                              | 3月末日                  | 5.72564185197121 |            0.0117
 6643-T  | 東証2部        | 戸上電機製作所                                | 3月末日                  | 5.81727781230578 |            0.0342
 6262-T  | 東証1部        | ペガサスミシン製造                            | 3月末日                  | 5.82881906825569 |            0.0321
 7264-T  | JQスタンダード | ムロコーポレーション                          | 3月末日                  | 5.85408251955621 |            0.0307
 7419-T  | JQスタンダード | ノジマ                                        | 3月末日・9月末日         | 5.94429194978176 |            0.0156
 8922-T  | 東証マザーズ   | 日本アセットマーケティング                    | 3月末日                  | 6.09137055837563 |                 0
 1810-T  | 東証1部        | 松井建設                                      | 3月末日                  |  6.2657091561939 |            0.0147
 4619-T  | 東証1部        | 日本特殊塗料                                  | 3月末日                  | 6.28210964427392 |            0.0212
 8999-T  | 東証1部        | グランディハウス                              | 3月末日                  | 6.33039945836154 |            0.0331
 3814-T  | JQグロース     | アルファクス・フード・システム                | 9月末日                  |   6.337515911984 |                 0
 7280-T  | 東証1部        | ミツバ                                        | 3月末日                  |    6.65283203125 |            0.0089
 1775-T  | 東証2部        | 富士古河E&C                                   | 3月末日                  | 6.74715909090909 |            0.0281
 8909-T  | JQスタンダード | シノケングループ                              | 12月末日                 | 6.76343421865349 |             0.016
 7628-T  | 東証1部        | オーハシテクニカ                              | 3月末日・9月末日         | 6.91628515369523 |            0.0304
 3254-T  | 東証1部        | プレサンスコーポレーション                    | 3月末日                  | 6.97557682654527 |            0.0281
 2662-T  | 東証1部        | ダイユーエイト                                | 2月20日                  | 7.01073985680191 |            0.0514
 4116-T  | 東証1部        | 大日精化工業                                  | 3月末日                  | 7.09436053761951 |            0.0277
 9960-T  | JQスタンダード | 東テク                                        | 3月末日                  | 7.14398859496278 |            0.0283
 8108-F  | 福証           | ヤマエ久野                                    | 3月末日                  | 7.19892352545414 |            0.0104
 3020-T  | JQスタンダード | アプライド                                    | 3月末日                  | 7.34568788009386 |            0.0266
 3583-T  | 東証2部        | オーベクス                                    | 3月末日                  | 7.35773831098224 |            0.0151
 7533-F  | 福証           | グリーンクロス                                | 4月末日                  |  7.4685773270994 |            0.0365
 6889-T  | JQスタンダード | オーデリック                                  | 3月末日                  |  7.4713615420383 |            0.0343
 7508-T  | 東証1部        | G-7ホールディングス                           | 3月末日                  | 7.50780256617732 |            0.0273
 5237-T  | 東証2部        | ノザワ                                        | 3月末日                  | 7.58219285826648 |             0.028
 8425-T  | 東証1部        | 興銀リース                                    | 3月末日                  | 7.61728166141294 |            0.0439
 6364-T  | 東証1部        | 北越工業                                      | 3月末日                  | 7.71063461121941 |            0.0342
 5110-T  | 東証1部        | 住友ゴム工業                                  | 12月末日                 | 7.80983938515348 |            0.0324
 1822-T  | 東証1部        | 大豊建設                                      | 3月末日                  | 7.92112867584566 |            0.0087
 9991-T  | 東証1部        | ジェコス                                      | 3月末日                  |  7.9280722189866 |             0.063
 6768-T  | 東証1部        | タムラ製作所                                  | 3月末日                  | 7.96822956699974 |            0.0233
 2715-T  | 東証1部        | エレマテック                                  | 3月末日                  | 7.97420411505784 |             0.039
 2374-T  | JQスタンダード | セントケア・ホールディング                    | 3月末日                  | 8.00931993592544 |            0.0257
 6161-T  | 東証マザーズ   | エスティック                                  | 3月20日                  | 8.01332749974759 |            0.0261
 4027-T  | 東証1部        | テイカ                                        | 3月末日                  | 8.01844689080631 |            0.0189
 7971-T  | 東証1部        | 東リ                                          | 3月末日                  | 8.05201992252352 |            0.0246
 6463-T  | 東証1部        | TPR                                           | 3月末日                  | 8.19663076498205 |            0.0169
 1870-T  | 東証1部        | 矢作建設工業                                  | 3月末日                  | 8.21535599875995 |            0.0254
 9997-T  | 東証1部        | ベルーナ                                      | 3月末日・9月末日         | 8.26851051570153 |            0.0577
 8630-T  | 東証1部        | 損保ジャパン日本興亜ホールディングス          | 3月末日                  | 8.43458890238963 |            0.0243
 7715-T  | 東証1部        | 長野計器                                      | 3月末日                  | 8.44012944983819 |            0.0314
 2763-T  | JQスタンダード | エフティグループ                              | 3月末日                  | 8.58379136943048 |             0.033
 1967-T  | 東証1部        | ヤマト                                        | 3月20日                  | 8.59261939218524 |            0.0211
 1860-T  | 東証1部        | 戸田建設                                      | 9月末日                  |  8.6260414964875 |            0.0175
 7467-T  | 東証1部        | 萩原電気                                      | 3月末日                  | 8.63350236055254 |            0.0361
 7248-T  | 東証1部        | カルソニックカンセイ                          | 3月末日                  | 8.81911701671667 |            0.0124
 6471-T  | 東証1部        | 日本精工                                      | 3月末日                  | 8.82618324993848 |            0.0327
 1959-T  | 東証1部        | 九電工                                        | 3月末日                  | 8.83963779757558 |            0.0148
 9640-T  | JQスタンダード | セゾン情報システムズ                          | 3月末日                  | 8.87071651090343 |                 0
 5933-T  | 東証1部        | アルインコ                                    | 3月20日                  | 8.98558187435633 |            0.0349
 1720-T  | 東証1部        | 東急建設                                      | 3月末日                  | 9.05605636721583 |            0.0233
 9036-T  | JQスタンダード | 東部ネットワーク                              | 3月末日                  |  9.0577950461389 |             0.014
 8424-T  | 東証1部        | 芙蓉総合リース                                | 3月末日                  | 9.14881187932237 |            0.0264
 5013-T  | 東証1部        | ユシロ化学工業                                | 3月末日                  | 9.18473367043014 |            0.0288
 1824-T  | 東証1部        | 前田建設工業                                  | 3月末日                  | 9.25205855443733 |            0.0141
 8593-T  | 東証1部        | 三菱UFJリース                                 | 3月末日                  | 9.28165007112375 |            0.0203
 6371-T  | 東証1部        | 椿本チエイン                                  | 3月末日                  | 9.30406585183337 |            0.0276
 9384-T  | 東証1部        | 内外トランスライン                            | 12月末日                 | 9.36662839647914 |            0.0464
 8117-T  | 東証2部        | 中央自動車工業                                | 3月末日                  | 9.45241199478488 |            0.0312
 4205-T  | 東証1部        | 日本ゼオン                                    | 3月末日                  |  9.4543225015328 |            0.0198
 7638-T  | JQスタンダード | シーマ                                        | 3月末日・9月末日         | 9.46291560102302 |                 0
 1949-T  | 東証1部        | 住友電設                                      | 3月末日                  | 9.49588138385502 |            0.0202
 9068-T  | 東証1部        | 丸全昭和運輸                                  | 3月末日                  | 9.51259712738404 |            0.0226
 8566-T  | 東証1部        | リコーリース                                  | 3月末日                  | 9.55285140330086 |             0.026
 4966-T  | 東証2部        | 上村工業                                      | 3月末日                  | 9.66445028606773 |            0.0245
 8081-T  | 東証1部        | カナデン                                      | 3月末日                  |  9.7019091213576 |            0.0409
 9733-T  | JQスタンダード | ナガセ                                        | 3月末日                  | 9.76603457056409 |            0.0307
 3771-T  | JQスタンダード | システムリサーチ                              | 9月末日                  | 9.80446375666601 |            0.0327
 6504-T  | 東証1部        | 富士電機                                      | 6月末日                  |   9.830007390983 |                 0
 6402-T  | 東証2部        | 兼松エンジニアリング                          | 3月末日                  | 9.95296129997862 |            0.0355
 4746-T  | 東証1部        | 東計電算                                      | 12月末日                 | 9.95365706226073 |            0.0332
